Nome,Lance,Ano,Local,Link
 yamaha - ybr 150 factor ed,R$ 3.800,2018 / 2018,aricanduva/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574519/?ref=v2
 honda - nxr 150 bros es,R$ 4.000,2013 / 2014,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574766/?ref=v2
 yamaha - fz15 fazer abs,R$ 6.600,2023 / 2024,guarulhos i/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574680/?ref=v2
 yamaha - ys 150 fazer sed,R$ 4.200,2021 / 2022,guarulhos i/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574691/?ref=v2
 harley davidson - flhtk,R$ 3.000,2019 / 2020,guarulhos i/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574690/?ref=v2
 honda - pop 110i,R$ 5.800,2019 / 2019,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574573/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574576/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2574577/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572291/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2021,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572292/?ref=v2
 honda - pop 110i,R$ 5.800,2022 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572294/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2021,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572295/?ref=v2
 honda - pop 110i,R$ 5.800,2022 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572296/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2021,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572297/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2021,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572299/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2021,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572300/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572302/?ref=v2
 honda - pop 110i,R$ 5.800,2021 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572304/?ref=v2
 honda - pop 110i,R$ 6.400,2021 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572305/?ref=v2
 honda - pop 110i,R$ 5.800,2022 / 2022,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572306/?ref=v2
 honda - pop 110i,R$ 5.800,2020 / 2020,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572308/?ref=v2
 honda - pop 110i,R$ 5.800,2020 / 2020,guarulhos iii/SP,https://leilao.sodresantoro.com.br/leilao/26466/lote/2572310/?ref=v2
